Date,Comp,Result,home_team,away_team,home_score,away_score,year,month,day,home_team_wins,away_team_wins,draw
2022-06-05,Friendlies,D,Ecuador,Mexico,0.0,0.0,2022,6,5,False,False,True
2022-06-11,Friendlies,W,Ecuador,Cape Verde,1.0,0.0,2022,6,11,True,False,False
2022-09-23,Friendlies,D,Ecuador,Saudi Arabia,0.0,0.0,2022,9,23,False,False,True
2022-09-27,Friendlies,D,Ecuador,Japan,0.0,0.0,2022,9,27,False,False,True
2022-11-12,Friendlies,,Ecuador,Iraq,,,2022,11,12,False,False,False
2022-11-20,World Cup,,Ecuador,Qatar,,,2022,11,20,False,False,False
2022-11-25,World Cup,,Ecuador,Netherlands,,,2022,11,25,False,False,False
2022-11-29,World Cup,,Ecuador,Senegal,,,2022,11,29,False,False,False
2021-03-25,WCQ,W,England,San Marino,5.0,0.0,2021,3,25,True,False,False
2021-03-28,WCQ,W,Albania,England,0.0,2.0,2021,3,28,False,True,False
2021-03-31,WCQ,W,England,Poland,2.0,1.0,2021,3,31,True,False,False
2021-09-02,WCQ,W,Hungary,England,0.0,4.0,2021,9,2,False,True,False
2021-09-05,WCQ,W,England,Andorra,4.0,0.0,2021,9,5,True,False,False
2021-09-08,WCQ,D,Poland,England,1.0,1.0,2021,9,8,False,False,True
2021-10-09,WCQ,W,Andorra,England,0.0,5.0,2021,10,9,False,True,False
2021-10-12,WCQ,D,England,Hungary,1.0,1.0,2021,10,12,False,False,True
2021-11-12,WCQ,W,England,Albania,5.0,0.0,2021,11,12,True,False,False
2021-11-15,WCQ,W,San Marino,England,0.0,10.0,2021,11,15,False,True,False
2022-03-26,Friendlies (M),W,England,Switzerland,2.0,1.0,2022,3,26,True,False,False
2022-03-29,Friendlies (M),W,England,Côte d'Ivoire,3.0,0.0,2022,3,29,True,False,False
2022-06-04,UEFA Nations League,L,Hungary,England,1.0,0.0,2022,6,4,True,False,False
2022-06-07,UEFA Nations League,D,Germany,England,1.0,1.0,2022,6,7,False,False,True
2022-06-11,UEFA Nations League,D,England,Italy,0.0,0.0,2022,6,11,False,False,True
2022-06-14,UEFA Nations League,L,England,Hungary,0.0,4.0,2022,6,14,False,True,False
2022-09-23,UEFA Nations League,L,Italy,England,1.0,0.0,2022,9,23,True,False,False
2022-09-26,UEFA Nations League,D,England,Germany,3.0,3.0,2022,9,26,False,False,True
2021-03-24,WCQ,D,France,Ukraine,1.0,1.0,2021,3,24,False,False,True
2021-03-28,WCQ,W,Kazakhstan,France,0.0,2.0,2021,3,28,False,True,False
2021-03-31,WCQ,W,Bosnia & Herz'na,France,0.0,1.0,2021,3,31,False,True,False
2021-09-01,WCQ,D,France,Bosnia & Herz'na,1.0,1.0,2021,9,1,False,False,True
2021-09-04,WCQ,D,Ukraine,France,1.0,1.0,2021,9,4,False,False,True
2021-09-07,WCQ,W,France,Finland,2.0,0.0,2021,9,7,True,False,False
2021-11-13,WCQ,W,France,Kazakhstan,8.0,0.0,2021,11,13,True,False,False
2021-11-16,WCQ,W,Finland,France,0.0,2.0,2021,11,16,False,True,False
2022-03-25,Friendlies (M),W,France,Côte d'Ivoire,2.0,1.0,2022,3,25,True,False,False
2022-03-29,Friendlies (M),W,France,South Africa,5.0,0.0,2022,3,29,True,False,False
2022-06-03,UEFA Nations League,L,France,Denmark,1.0,2.0,2022,6,3,False,True,False
2022-06-06,UEFA Nations League,D,Croatia,France,1.0,1.0,2022,6,6,False,False,True
2022-06-10,UEFA Nations League,D,Austria,France,1.0,1.0,2022,6,10,False,False,True
2022-06-13,UEFA Nations League,L,France,Croatia,0.0,1.0,2022,6,13,False,True,False
2022-09-22,UEFA Nations League,W,France,Austria,2.0,0.0,2022,9,22,True,False,False
2022-09-25,UEFA Nations League,L,Denmark,France,2.0,0.0,2022,9,25,True,False,False
2021-03-25,WCQ,W,Germany,Iceland,3.0,0.0,2021,3,25,True,False,False
2021-03-28,WCQ,W,Romania,Germany,0.0,1.0,2021,3,28,False,True,False
2021-03-31,WCQ,L,Germany,N. Macedonia,1.0,2.0,2021,3,31,False,True,False
2021-09-02,WCQ,W,Liechtenstein,Germany,0.0,2.0,2021,9,2,False,True,False
2021-09-05,WCQ,W,Germany,Armenia,6.0,0.0,2021,9,5,True,False,False
2021-09-08,WCQ,W,Iceland,Germany,0.0,4.0,2021,9,8,False,True,False
2021-10-08,WCQ,W,Germany,Romania,2.0,1.0,2021,10,8,True,False,False
2021-10-11,WCQ,W,N. Macedonia,Germany,0.0,4.0,2021,10,11,False,True,False
2021-11-11,WCQ,W,Germany,Liechtenstein,9.0,0.0,2021,11,11,True,False,False
2021-11-14,WCQ,W,Armenia,Germany,1.0,4.0,2021,11,14,False,True,False
2022-03-26,Friendlies (M),W,Germany,Israel,2.0,0.0,2022,3,26,True,False,False
2022-03-29,Friendlies (M),D,Netherlands,Germany,1.0,1.0,2022,3,29,False,False,True
2022-06-04,UEFA Nations League,D,Italy,Germany,1.0,1.0,2022,6,4,False,False,True
2022-06-07,UEFA Nations League,D,Germany,England,1.0,1.0,2022,6,7,False,False,True
2022-06-11,UEFA Nations League,D,Hungary,Germany,1.0,1.0,2022,6,11,False,False,True
2022-06-14,UEFA Nations League,W,Germany,Italy,5.0,2.0,2022,6,14,True,False,False
2022-09-23,UEFA Nations League,L,Germany,Hungary,0.0,1.0,2022,9,23,False,True,False
2022-09-26,UEFA Nations League,D,England,Germany,3.0,3.0,2022,9,26,False,False,True
2021-09-03,WCQ,W,Ghana,Ethiopia,1.0,0.0,2021,9,3,True,False,False
2021-09-06,WCQ,L,South Africa,Ghana,1.0,0.0,2021,9,6,True,False,False
2021-10-09,WCQ,W,Ghana,Zimbabwe,3.0,1.0,2021,10,9,True,False,False
2021-10-12,WCQ,W,Zimbabwe,Ghana,0.0,1.0,2021,10,12,False,True,False
2021-11-11,WCQ,D,Ethiopia,Ghana,1.0,1.0,2021,11,11,False,False,True
2021-11-14,WCQ,W,Ghana,South Africa,1.0,0.0,2021,11,14,True,False,False
2022-01-05,Friendlies (M),L,Ghana,Algeria,0.0,3.0,2022,1,5,False,True,False
2022-01-10,Africa Cup of Nations,L,Ghana,Morocco,0.0,1.0,2022,1,10,False,True,False
2022-01-14,Africa Cup of Nations,D,Ghana,Gabon,1.0,1.0,2022,1,14,False,False,True
2022-01-18,Africa Cup of Nations,L,Ghana,Comoros,2.0,3.0,2022,1,18,False,True,False
2022-03-25,WCQ,D,Ghana,Nigeria,0.0,0.0,2022,3,25,False,False,True
2022-03-29,WCQ,D,Nigeria,Ghana,1.0,1.0,2022,3,29,False,False,True
2022-06-01,Africa Cup of Nations qualification,W,Ghana,Madagascar,3.0,0.0,2022,6,1,True,False,False
2022-06-05,Africa Cup of Nations qualification,D,Ghana,CAR,1.0,1.0,2022,6,5,False,False,True
2022-09-23,Friendlies (M),L,Ghana,Brazil,0.0,3.0,2022,9,23,False,True,False
2022-09-27,Friendlies (M),W,Ghana,Nicaragua,1.0,0.0,2022,9,27,True,False,False
2021-03-24,WCQ,L,Turkey,Netherlands,4.0,2.0,2021,3,24,True,False,False
2021-03-27,WCQ,W,Netherlands,Latvia,2.0,0.0,2021,3,27,True,False,False
2021-03-30,WCQ,W,Gibraltar,Netherlands,0.0,7.0,2021,3,30,False,True,False
2021-09-01,WCQ,D,Norway,Netherlands,1.0,1.0,2021,9,1,False,False,True
2021-09-04,WCQ,W,Netherlands,Montenegro,4.0,0.0,2021,9,4,True,False,False
2021-09-07,WCQ,W,Netherlands,Turkey,6.0,1.0,2021,9,7,True,False,False
2021-10-08,WCQ,W,Latvia,Netherlands,0.0,1.0,2021,10,8,False,True,False
2021-10-11,WCQ,W,Netherlands,Gibraltar,6.0,0.0,2021,10,11,True,False,False
2021-11-13,WCQ,D,Montenegro,Netherlands,2.0,2.0,2021,11,13,False,False,True
2021-11-16,WCQ,W,Netherlands,Norway,2.0,0.0,2021,11,16,True,False,False
2022-03-26,Friendlies (M),W,Netherlands,Denmark,4.0,2.0,2022,3,26,True,False,False
2022-03-29,Friendlies (M),D,Netherlands,Germany,1.0,1.0,2022,3,29,False,False,True
2022-06-03,UEFA Nations League,W,Belgium,Netherlands,1.0,4.0,2022,6,3,False,True,False
2022-06-08,UEFA Nations League,W,Wales,Netherlands,1.0,2.0,2022,6,8,False,True,False
2022-06-11,UEFA Nations League,D,Netherlands,Poland,2.0,2.0,2022,6,11,False,False,True
2022-06-14,UEFA Nations League,W,Netherlands,Wales,3.0,2.0,2022,6,14,True,False,False
2022-09-22,UEFA Nations League,W,Poland,Netherlands,0.0,2.0,2022,9,22,False,True,False
2022-09-25,UEFA Nations League,W,Netherlands,Belgium,1.0,0.0,2022,9,25,True,False,False
2019-09-10,WCQ,W,Hong Kong,IR Iran,0.0,2.0,2019,9,10,False,True,False
2019-10-10,WCQ,W,IR Iran,Cambodia,14.0,0.0,2019,10,10,True,False,False
2019-10-15,WCQ,L,Bahrain,IR Iran,1.0,0.0,2019,10,15,True,False,False
2019-11-14,WCQ,L,Iraq,IR Iran,2.0,1.0,2019,11,14,True,False,False
2021-06-03,WCQ,W,IR Iran,Hong Kong,3.0,1.0,2021,6,3,True,False,False
2021-06-07,WCQ,W,IR Iran,Bahrain,3.0,0.0,2021,6,7,True,False,False
2021-06-11,WCQ,W,Cambodia,IR Iran,0.0,10.0,2021,6,11,False,True,False
2021-06-15,WCQ,W,IR Iran,Iraq,1.0,0.0,2021,6,15,True,False,False
2021-09-02,WCQ,W,IR Iran,Syria,1.0,0.0,2021,9,2,True,False,False
2021-09-07,WCQ,W,Iraq,IR Iran,0.0,3.0,2021,9,7,False,True,False
2021-10-07,WCQ,W,UAE,IR Iran,0.0,1.0,2021,10,7,False,True,False
2021-10-12,WCQ,D,IR Iran,Korea Republic,1.0,1.0,2021,10,12,False,False,True
2021-11-11,WCQ,W,Lebanon,IR Iran,1.0,2.0,2021,11,11,False,True,False
2021-11-16,WCQ,W,Syria,IR Iran,0.0,3.0,2021,11,16,False,True,False
2022-01-27,WCQ,W,IR Iran,Iraq,1.0,0.0,2022,1,27,True,False,False
2022-02-01,WCQ,W,IR Iran,UAE,1.0,0.0,2022,2,1,True,False,False
2022-03-24,WCQ,L,Korea Republic,IR Iran,2.0,0.0,2022,3,24,True,False,False
2022-03-29,WCQ,W,IR Iran,Lebanon,2.0,0.0,2022,3,29,True,False,False
2022-06-12,Friendlies (M),L,IR Iran,Algeria,1.0,2.0,2022,6,12,False,True,False
2022-09-23,Friendlies (M),W,IR Iran,Uruguay,1.0,0.0,2022,9,23,True,False,False
2022-09-27,Friendlies (M),D,IR Iran,Senegal,1.0,1.0,2022,9,27,False,False,True
2019-09-10,WCQ,W,Myanmar,Japan,0.0,2.0,2019,9,10,False,True,False
2019-10-10,WCQ,W,Japan,Mongolia,6.0,0.0,2019,10,10,True,False,False
2019-10-15,WCQ,W,Tajikistan,Japan,0.0,3.0,2019,10,15,False,True,False
2019-11-14,WCQ,W,Kyrgyz Republic,Japan,0.0,2.0,2019,11,14,False,True,False
2021-03-30,WCQ,W,Mongolia,Japan,0.0,14.0,2021,3,30,False,True,False
2021-05-28,WCQ,W,Japan,Myanmar,10.0,0.0,2021,5,28,True,False,False
2021-06-07,WCQ,W,Japan,Tajikistan,4.0,1.0,2021,6,7,True,False,False
2021-06-15,WCQ,W,Japan,Kyrgyz Republic,5.0,1.0,2021,6,15,True,False,False
2021-09-02,WCQ,L,Japan,Oman,0.0,1.0,2021,9,2,False,True,False
2021-09-07,WCQ,W,China PR,Japan,0.0,1.0,2021,9,7,False,True,False
2021-10-07,WCQ,L,Saudi Arabia,Japan,1.0,0.0,2021,10,7,True,False,False
2021-10-12,WCQ,W,Japan,Australia,2.0,1.0,2021,10,12,True,False,False
2021-11-11,WCQ,W,Vietnam,Japan,0.0,1.0,2021,11,11,False,True,False
2021-11-16,WCQ,W,Oman,Japan,0.0,1.0,2021,11,16,False,True,False
2022-01-27,WCQ,W,Japan,China PR,2.0,0.0,2022,1,27,True,False,False
2022-02-01,WCQ,W,Japan,Saudi Arabia,2.0,0.0,2022,2,1,True,False,False
2022-03-24,WCQ,W,Australia,Japan,0.0,2.0,2022,3,24,False,True,False
2022-03-29,WCQ,D,Japan,Vietnam,1.0,1.0,2022,3,29,False,False,True
2022-06-02,Friendlies (M),W,Japan,Paraguay,4.0,1.0,2022,6,2,True,False,False
2022-06-06,Friendlies (M),L,Japan,Brazil,0.0,1.0,2022,6,6,False,True,False
2022-09-23,Friendlies (M),W,Japan,United States,2.0,0.0,2022,9,23,True,False,False
2022-09-27,Friendlies (M),D,Japan,Ecuador,0.0,0.0,2022,9,27,False,False,True
2019-09-10,WCQ,W,Turkmenistan,Korea Republic,0.0,2.0,2019,9,10,False,True,False
2019-10-10,WCQ,W,Korea Republic,Sri Lanka,8.0,0.0,2019,10,10,True,False,False
2019-11-14,WCQ,D,Lebanon,Korea Republic,0.0,0.0,2019,11,14,False,False,True
2021-06-05,WCQ,W,Korea Republic,Turkmenistan,5.0,0.0,2021,6,5,True,False,False
2021-06-09,WCQ,W,Sri Lanka,Korea Republic,0.0,5.0,2021,6,9,False,True,False
2021-06-13,WCQ,W,Korea Republic,Lebanon,2.0,1.0,2021,6,13,True,False,False
2021-09-02,WCQ,D,Korea Republic,Iraq,0.0,0.0,2021,9,2,False,False,True
2021-09-07,WCQ,W,Korea Republic,Lebanon,1.0,0.0,2021,9,7,True,False,False
2021-10-07,WCQ,W,Korea Republic,Syria,2.0,1.0,2021,10,7,True,False,False
2021-10-12,WCQ,D,IR Iran,Korea Republic,1.0,1.0,2021,10,12,False,False,True
2021-11-11,WCQ,W,Korea Republic,UAE,1.0,0.0,2021,11,11,True,False,False
2021-11-16,WCQ,W,Iraq,Korea Republic,0.0,3.0,2021,11,16,False,True,False
2022-01-15,Friendlies (M),W,Korea Republic,Iceland,5.0,1.0,2022,1,15,True,False,False
2022-01-21,Friendlies (M),W,Korea Republic,Moldova,4.0,0.0,2022,1,21,True,False,False
2022-01-27,WCQ,W,Lebanon,Korea Republic,0.0,1.0,2022,1,27,False,True,False
2022-02-01,WCQ,W,Korea Republic,Syria,2.0,0.0,2022,2,1,True,False,False
2022-03-24,WCQ,W,Korea Republic,IR Iran,2.0,0.0,2022,3,24,True,False,False
2022-03-29,WCQ,L,UAE,Korea Republic,1.0,0.0,2022,3,29,True,False,False
2022-06-02,Friendlies (M),L,Korea Republic,Brazil,1.0,5.0,2022,6,2,False,True,False
2022-06-06,Friendlies (M),W,Korea Republic,Chile,2.0,0.0,2022,6,6,True,False,False
2022-06-10,Friendlies (M),D,Korea Republic,Paraguay,2.0,2.0,2022,6,10,False,False,True
2022-06-14,Friendlies (M),W,Korea Republic,Egypt,4.0,1.0,2022,6,14,True,False,False
2022-09-23,Friendlies (M),D,Korea Republic,Costa Rica,2.0,2.0,2022,9,23,False,False,True
2022-09-27,Friendlies (M),W,Korea Republic,Cameroon,1.0,0.0,2022,9,27,True,False,False
2021-09-02,WCQ,W,Mexico,Jamaica,2.0,1.0,2021,9,2,True,False,False
2021-09-05,WCQ,W,Costa Rica,Mexico,0.0,1.0,2021,9,5,False,True,False
2021-09-08,WCQ,D,Panama,Mexico,1.0,1.0,2021,9,8,False,False,True
2021-10-07,WCQ,D,Mexico,Canada,1.0,1.0,2021,10,7,False,False,True
2021-10-10,WCQ,W,Mexico,Honduras,3.0,0.0,2021,10,10,True,False,False
2021-10-13,WCQ,W,El Salvador,Mexico,0.0,2.0,2021,10,13,False,True,False
2021-11-12,WCQ,L,United States,Mexico,2.0,0.0,2021,11,12,True,False,False
2021-11-16,WCQ,L,Canada,Mexico,2.0,1.0,2021,11,16,True,False,False
2022-01-27,WCQ,W,Jamaica,Mexico,1.0,2.0,2022,1,27,False,True,False
2022-01-30,WCQ,D,Mexico,Costa Rica,0.0,0.0,2022,1,30,False,False,True
2022-02-02,WCQ,W,Mexico,Panama,1.0,0.0,2022,2,2,True,False,False
2022-03-24,WCQ,D,Mexico,United States,0.0,0.0,2022,3,24,False,False,True
2022-03-27,WCQ,W,Honduras,Mexico,0.0,1.0,2022,3,27,False,True,False
2022-03-30,WCQ,W,Mexico,El Salvador,2.0,0.0,2022,3,30,True,False,False
2022-04-27,Friendlies (M),D,Mexico,Guatemala,0.0,0.0,2022,4,27,False,False,True
2022-05-28,Friendlies (M),W,Mexico,Nigeria,2.0,1.0,2022,5,28,True,False,False
2022-06-02,Friendlies (M),L,Mexico,Uruguay,0.0,3.0,2022,6,2,False,True,False
2022-06-05,Friendlies (M),D,Mexico,Ecuador,0.0,0.0,2022,6,5,False,False,True
2022-08-31,Friendlies (M),L,Mexico,Paraguay,0.0,1.0,2022,8,31,False,True,False
2022-09-24,Friendlies (M),W,Mexico,Peru,1.0,0.0,2022,9,24,True,False,False
2022-09-27,Friendlies (M),L,Mexico,Colombia,2.0,3.0,2022,9,27,False,True,False
2022-11-09,Friendlies (M),,Mexico,Iraq,,,2022,11,9,False,False,False
2022-11-16,Friendlies (M),,Mexico,Sweden,,,2022,11,16,False,False,False
2022-11-22,World Cup,,Mexico,Poland,,,2022,11,22,False,False,False
2022-11-26,World Cup,,Mexico,Argentina,,,2022,11,26,False,False,False
2022-11-30,World Cup,,Mexico,Saudi Arabia,,,2022,11,30,False,False,False
2021-09-02,WCQ,W,Morocco,Sudan,2.0,0.0,2021,9,2,True,False,False
2021-10-06,WCQ,W,Morocco,Guinea-Bissau,5.0,0.0,2021,10,6,True,False,False
2021-10-09,WCQ,W,Guinea-Bissau,Morocco,0.0,3.0,2021,10,9,False,True,False
2021-10-12,WCQ,W,Guinea,Morocco,1.0,4.0,2021,10,12,False,True,False
2021-11-12,WCQ,W,Sudan,Morocco,0.0,3.0,2021,11,12,False,True,False
2021-11-16,WCQ,W,Morocco,Guinea,3.0,0.0,2021,11,16,True,False,False
2022-01-10,Africa Cup of Nations,W,Morocco,Ghana,1.0,0.0,2022,1,10,True,False,False
2022-01-14,Africa Cup of Nations,W,Morocco,Comoros,2.0,0.0,2022,1,14,True,False,False
2022-01-18,Africa Cup of Nations,D,Morocco,Gabon,2.0,2.0,2022,1,18,False,False,True
2022-01-25,Africa Cup of Nations,W,Morocco,Malawi,2.0,1.0,2022,1,25,True,False,False
2022-01-30,Africa Cup of Nations,L,Morocco,Egypt,1.0,2.0,2022,1,30,False,True,False
2022-03-25,WCQ,D,Congo DR,Morocco,1.0,1.0,2022,3,25,False,False,True
2022-03-29,WCQ,W,Morocco,Congo DR,4.0,1.0,2022,3,29,True,False,False
2022-06-01,Friendlies (M),L,United States,Morocco,3.0,0.0,2022,6,1,True,False,False
2022-06-09,Africa Cup of Nations qualification,W,Morocco,South Africa,2.0,1.0,2022,6,9,True,False,False
2022-06-13,Africa Cup of Nations qualification,W,Morocco,Liberia,2.0,0.0,2022,6,13,True,False,False
2022-09-23,Friendlies (M),W,Morocco,Chile,2.0,0.0,2022,9,23,True,False,False
2022-09-27,Friendlies (M),D,Morocco,Paraguay,0.0,0.0,2022,9,27,False,False,True
2021-03-25,WCQ,D,Hungary,Poland,3.0,3.0,2021,3,25,False,False,True
2021-03-28,WCQ,W,Poland,Andorra,3.0,0.0,2021,3,28,True,False,False
2021-03-31,WCQ,L,England,Poland,2.0,1.0,2021,3,31,True,False,False
2021-09-02,WCQ,W,Poland,Albania,4.0,1.0,2021,9,2,True,False,False
2021-09-05,WCQ,W,San Marino,Poland,1.0,7.0,2021,9,5,False,True,False
2021-09-08,WCQ,D,Poland,England,1.0,1.0,2021,9,8,False,False,True
2021-10-09,WCQ,W,Poland,San Marino,5.0,0.0,2021,10,9,True,False,False
2021-10-12,WCQ,W,Albania,Poland,0.0,1.0,2021,10,12,False,True,False
2021-11-12,WCQ,W,Andorra,Poland,1.0,4.0,2021,11,12,False,True,False
2021-11-15,WCQ,L,Poland,Hungary,1.0,2.0,2021,11,15,False,True,False
2022-03-24,Friendlies (M),D,Scotland,Poland,1.0,1.0,2022,3,24,False,False,True
2022-03-29,WCQ,W,Poland,Sweden,2.0,0.0,2022,3,29,True,False,False
2022-06-01,UEFA Nations League,W,Poland,Wales,2.0,1.0,2022,6,1,True,False,False
2022-06-08,UEFA Nations League,L,Belgium,Poland,6.0,1.0,2022,6,8,True,False,False
2022-06-11,UEFA Nations League,D,Netherlands,Poland,2.0,2.0,2022,6,11,False,False,True
2022-06-14,UEFA Nations League,L,Poland,Belgium,0.0,1.0,2022,6,14,False,True,False
2022-09-22,UEFA Nations League,L,Poland,Netherlands,0.0,2.0,2022,9,22,False,True,False
2022-09-25,UEFA Nations League,W,Wales,Poland,0.0,1.0,2022,9,25,False,True,False
2021-03-24,WCQ,W,Portugal,Azerbaijan,1.0,0.0,2021,3,24,True,False,False
2021-03-27,WCQ,D,Serbia,Portugal,2.0,2.0,2021,3,27,False,False,True
2021-03-30,WCQ,W,Luxembourg,Portugal,1.0,3.0,2021,3,30,False,True,False
2021-09-01,WCQ,W,Portugal,Rep. of Ireland,2.0,1.0,2021,9,1,True,False,False
2021-09-07,WCQ,W,Azerbaijan,Portugal,0.0,3.0,2021,9,7,False,True,False
2021-10-12,WCQ,W,Portugal,Luxembourg,5.0,0.0,2021,10,12,True,False,False
2021-11-11,WCQ,D,Rep. of Ireland,Portugal,0.0,0.0,2021,11,11,False,False,True
2021-11-14,WCQ,L,Portugal,Serbia,1.0,2.0,2021,11,14,False,True,False
2022-03-24,WCQ,W,Portugal,Turkey,3.0,1.0,2022,3,24,True,False,False
